0       73.6696    77.669    	10
0.5     50.306	   54.3059		20
1       29.574     33.5731		30
1.5     31.5075    35.507		40
                     
2.5     93.8407    97.8377		10
3       87.9042    91.9031		20
3.5     76.1598    80.1591		30
4       75.6618    79.6618		40
                     
5       96.0069    100			10
5.5     95.6993    99.6892		20
6       91.2327    95.2284		30
6.5     79.9742    83.9727		40
                     
7.5     95.5728    99.5599		10
8       95.9436    99.927		20
8.5     95.437     99.4303		30
9       88.506     92.5057		40
